ITEM_ID,ITEM_NAME,CATEGORY_l1,PRICE
465,international,Electronics,401.18
432,today,Clothing,93.66
348,figure,Toys & Games,208.52
298,speech,Toys & Games,412.33
289,end,Clothing,8.93
383,there,Home & Garden,98.87
52,many,Clothing,62.41
456,lay,Home & Garden,343.63
388,few,Home & Garden,422.89
272,morning,Clothing,145.48
189,walk,Toys & Games,410.97
309,bad,Home & Garden,251.03
346,together,Books,375.25
366,without,Toys & Games,166.8
194,push,Home & Garden,355.46
447,road,Books,196.54
94,father,Books,495.4
401,none,Books,138.48
72,stay,Home & Garden,372.06
119,everything,Toys & Games,106.51
407,system,Home & Garden,32.48
110,very,Clothing,401.23
259,food,Home & Garden,170.5
380,pattern,Home & Garden,386.13
31,story,Electronics,133.63
322,game,Books,25.89
438,outside,Books,284.57
153,edge,Home & Garden,251.63
223,network,Toys & Games,218.12
207,get,Electronics,11.26
290,thing,Clothing,331.04
340,necessary,Clothing,225.95
324,create,Books,94.33
316,by,Clothing,485.59
55,raise,Electronics,493.92
229,yes,Books,335.83
38,huge,Books,119.74
241,although,Clothing,158.02
443,account,Books,143.63
33,sell,Clothing,88.75
177,move,Electronics,245.65
83,maybe,Electronics,38.56
343,senior,Electronics,15.1
185,when,Books,184.92
161,research,Electronics,76.41
489,reach,Books,317.46
452,explain,Toys & Games,131.16
81,cultural,Books,222.91
441,already,Clothing,441.79
126,watch,Clothing,332.15
108,military,Books,97.35
347,guy,Clothing,257.63
167,party,Toys & Games,405.03
217,hair,Books,433.89
246,business,Toys & Games,302.25
186,Mrs,Electronics,17.71
319,list,Home & Garden,484.14
433,dog,Toys & Games,111.91
104,play,Toys & Games,32.23
315,more,Clothing,199.05
101,trial,Clothing,428.1
413,bring,Books,275.12
338,movie,Books,425.87
260,fact,Toys & Games,204.35
200,weight,Clothing,384.52
282,event,Books,99.63
294,thought,Clothing,281.74
314,character,Electronics,170.69
160,agent,Home & Garden,296.51
279,cover,Home & Garden,389.45
318,treat,Toys & Games,8.4
266,four,Electronics,183.46
253,score,Home & Garden,358.29
178,power,Electronics,69.48
493,democratic,Clothing,466.71
275,pick,Toys & Games,358.37
265,defense,Home & Garden,346.06
109,every,Clothing,313.69
361,region,Books,413.04
24,art,Electronics,329.21
464,century,Toys & Games,240.36
214,consumer,Electronics,294.98
248,appear,Electronics,45.74
288,sign,Books,355.7
154,begin,Books,101.82
384,trouble,Toys & Games,122.66
50,always,Toys & Games,448.03
299,personal,Home & Garden,462.0
192,however,Toys & Games,389.23
262,field,Electronics,178.53
445,letter,Books,445.13
73,song,Electronics,92.86
196,into,Clothing,188.32
125,never,Home & Garden,251.75
363,forget,Clothing,157.12
8,really,Home & Garden,21.36
321,those,Clothing,325.96
157,name,Clothing,37.22
307,number,Books,83.08
460,her,Toys & Games,97.25
222,executive,Clothing,75.5
339,difference,Toys & Games,112.01
306,third,Electronics,275.97
325,local,Toys & Games,283.28
171,kind,Toys & Games,369.95
235,form,Electronics,459.04
352,rate,Books,87.05
485,public,Toys & Games,360.0
111,specific,Books,387.33
287,line,Electronics,12.15
3,good,Clothing,286.78
356,follow,Electronics,409.42
449,nearly,Toys & Games,78.49
375,medical,Clothing,272.65
193,for,Electronics,97.64
257,drive,Books,402.84
442,actually,Home & Garden,174.0
494,pass,Home & Garden,52.95
190,answer,Books,394.09
218,so,Books,102.74
169,over,Clothing,361.83
403,affect,Clothing,271.67
254,claim,Electronics,283.69
9,leader,Electronics,415.3
23,yeah,Home & Garden,295.61
183,trip,Electronics,264.66
224,similar,Home & Garden,460.46
27,act,Clothing,416.53
122,analysis,Books,363.86
492,beyond,Clothing,325.28
80,establish,Books,183.05
132,else,Electronics,324.81
114,direction,Clothing,215.28
379,range,Clothing,497.1
115,leave,Electronics,350.05
175,clearly,Books,138.39
326,space,Home & Garden,34.75
415,body,Toys & Games,305.59
20,present,Electronics,108.2
247,sure,Clothing,356.37
458,task,Electronics,197.04
410,ball,Toys & Games,22.49
271,collection,Books,419.62
369,evidence,Home & Garden,455.52
240,join,Toys & Games,359.41
22,want,Books,283.04
395,sort,Home & Garden,341.64
66,program,Toys & Games,31.0
17,identify,Clothing,258.27
16,meet,Clothing,365.35
18,but,Electronics,425.28
74,role,Home & Garden,430.31
391,sit,Home & Garden,437.77
295,unit,Home & Garden,175.95
120,production,Electronics,48.21
423,issue,Toys & Games,66.36
19,blood,Books,344.53
354,toward,Clothing,377.63
225,short,Home & Garden,474.4
77,last,Electronics,314.8
373,finally,Books,419.78
181,attention,Books,318.33
285,behavior,Toys & Games,188.23
251,opportunity,Toys & Games,446.84
116,lead,Clothing,293.06
473,financial,Toys & Games,230.79
394,he,Toys & Games,284.88
454,exactly,Home & Garden,413.87
344,apply,Electronics,227.41
216,me,Clothing,384.63
416,if,Toys & Games,362.61
26,challenge,Clothing,405.74
220,here,Electronics,450.36
281,order,Electronics,332.2
477,ahead,Books,210.63
230,old,Books,347.97
499,land,Books,244.42
61,strategy,Toys & Games,310.25
213,federal,Clothing,458.23
197,safe,Books,176.27
208,foreign,Clothing,164.65
419,bank,Toys & Games,99.52
446,though,Toys & Games,458.15
44,open,Home & Garden,287.23
